web-scraper-order,web-scraper-start-url,treyrey,treyrey-href,nom,prix,adresse,image_lien-src
"1739886133-1","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4701230","Paire de perruches ondulées","40 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_4679396_uploaded_image1_1712411459.jpg"
"1739886162-2","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border10mois","https://sn.coinafrique.com/annonce/autres-animaux/cailles-4701407","Cailles","7 000 CFA","Touba, Sénégal","https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg"
"1739886194-3","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/hamster-4723216","Hamster","5 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4723216_uploaded_image1_1714726904.jpg"
"1739886244-4","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-4723220","Chat Siamois","300 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg"
"1739886307-5","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-inseparable-4724298","Couple perroquet  Roseicollis","60 000 CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_4651651_uploaded_image1_1710951067.jpg"
"1739886349-6","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-4686441","Trio de paon bleu","450 000 CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg"
"1739886431-7","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/3-chatons-4751663","3 chatons","Prix sur demande","Mariste, Dakar, Sénégal","https://images.coinafrique.com/thumb_4751663_uploaded_image1_1716126912.jpg"
"1739886490-8","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4752043","Boeuf","600 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg"
"1739886562-9","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-holstein-4753933","Vache  Montbéliard Holstein","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753933_uploaded_image1_1716257630.jpg"
"1739886605-10","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliard-et-holstein-4753935","Vaches Montbéliarde","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1739886656-11","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/vaches-montbeliarde-4753936","Vaches Montbéliarde","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1739886712-12","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border9mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-scottish-4755374","Chat scotish","750 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg"
"1739886772-13","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-laitiere-montbeliarde-4765247","Vaches Montbéliarde","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1739886829-14","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-4765270","Chaton Angora Turc","100 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1739886879-15","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-persan-4785131","Chat persan","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg"
"1739886938-16","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/poussin-cochin-disponible-4794466","","","",""
"1739886971-17","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/cochin-fauve-4794473","","","",""
"1739887031-18","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/poussin-dinde-rouge-4794677","","","",""
"1739887088-19","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/chat-scotish-4803206","Chat Brittish Shorthair","700 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg"
"1739887132-20","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border8mois","https://sn.coinafrique.com/annonce/autres-animaux/paon-4804686","Paon","65 000 CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg"
"1739887196-21","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/foin-4807500","Sacs de foin - Ngogne","5 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_3747916_uploaded_image1_1655548507.jpg"
"1739887257-22","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/scottish-fold-et-scottish-straight-de-race-pure-4808971","","","",""
"1739887320-23","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persan-pure-race-4808981","Persan pure race","500 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg"
"1739887381-24","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/persan-pure-race-4818301","persan pure race","400 000 CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_5041103_uploaded_image1_1731467091.jpg"
"1739887430-25","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-blanches-4846024","","","",""
"1739887471-26","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846053","Perruche ondulée","30 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1739887516-27","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-4846061","Perruche ondulée","30 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg"
"1739887550-28","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-montbeliardes-4851931","Vaches Montbéliarde","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg"
"1739887586-29","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-race-goudali-4853741","","","",""
"1739887629-30","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border7mois","https://sn.coinafrique.com/annonce/autres-animaux/siamois-4855435","Chaton siamois","240 000 CFA","Sacré-Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg"
"1739887665-31","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/chaton-hiamalayen-4864117","","","",""
"1739887701-32","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-4864739","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1739887734-33","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-4869182","Boeufs","750 000 CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1739887768-34","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/vache-4878570","Vache","600 000 CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_4303521_uploaded_image1_1689962163.jpg"
"1739887801-35","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880849","","","",""
"1739887836-36","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/ufs-de-caille-4880858","","","",""
"1739887871-37","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/autruche-4885138","Poussins d'autruche","50 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg"
"1739887907-38","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/chatons-persans-chinchillas-purs-4888897","","","",""
"1739887947-39","https://sn.coinafrique.com/categorie/autres-animaux","favorite_border6mois","https://sn.coinafrique.com/annonce/autres-animaux/bufs-4895608","","","",""
